DATE	NAME	YEAR	LENGTH	RATING	DIRECTOR	PRIMARY_LANGUAGE	FOREIGN	GENRE	REWATCH
may	furiosa_a_mad_max_saga	2024	149	4.5	george_miller	english	no	"science fiction,adventure,action"	no
august	the_trial	1962	119	4.5	orson_welles	english	no	"crime,drama,mystery"	no
december	Lawrence of Arabia	1962	228	4.5	david_lean	english	no	"adventure,war,history"	no
december	Singin' in the Rain	1952	103	4.5	"stanley_donen, gene_kelly"	english	no	"romance,comedy"	no
january	opening_night	1977	144	4	john_cassavetes	english	no	drama	no
february	sexy_beasy	2000	89	4	jonathan_glazer	english	no	"drama,thriller,crime"	no
february	good_will_hunting	1997	127	4	gus_van_sant	english	no	drama	no
march	being_john_malkovich	1999	113	4	spike_jonze	english	no	"comedy,fantasy,drama"	no
march	Sicario	2015	122	4	denis_villeneuve	english	no	"action,thriller,crime"	no
march	the_long_goodbye	1973	112	4	robert_altman	english	no	"crime,thriller,mystery"	no
april	Challengers	2024	132	4	luca_guadagnino	english	no	"drama,romance"	no
may	bloody_Sunday	2002	107	4	paul_greengrass	english	sort of	"drama,history"	no
june	daer_zachary	2008	93	4	kurt_kuenne	english	no	"documentary,crime"	no
june	Ghostlight	2024	115	4	"alex_thompson, kelly_o_sullivan"	english	no	"comedy,drama"	no
july	inherit_the_wind	1960	128	4	stanley_kramer	english	no	drama	no
august	didi	2024	94	4	sean_wang	english	no	"comedy,drama"	no
august	bodies_bodies_bodies	2022	94	4	halina_reijn	english	no	"mystery,horror,comedy"	no
august	blue_color	1978	114	4	paul_schrader	english	no	"drama,crime"	no
september	safety_last	1923	73	4	"sam_taylor, fred_c_newmeyer"	english	no	comedy	no
september	point_break	1991	122	4	kathryn_bigelow	english	no	"thriller,crime,action"	no
october	Transplant	2024	93	4	jason_park	english	no	"drama,thriller"	no
november	Anora	2024	139	4	sean_baker	english	no	"drama,romance,comedy"	no
november	chan_is_missing	1982	76	4	wayne_wang	english	no	"drama,mystery,crime,comedy"	no
november	how_to_train_your_dragon	2010	98	4	"chris_sanders, dean_deblois"	english	no	"fantasy,family,adventure,animation"	no
december	AlphaGo	2017	90	4	greg_kohs	english	no	documentary	no
december	The War Room	1993	96	4	"da_pennebaker, chris_hegedus"	english	no	"history,documentary"	no
december	Nosferatu	2024	132	4	robert_eggers	english	no	"fantasy,horror"	no
december	The Hudsucker Proxy	1994	111	4	joel_coen	english	no	comedy	no
december	a_real_pain	2024	90	4	jesse_eisenberg	english	no	"comedy,drama"	no
january	a_new_leaf	1971	102	3.5	elaine_may	english	no	"romance,comedy"	no
january	rebel_without_a_cause	1955	111	3.5	nicholas_ray	english	no	drama	no
february	all_of_us_strangers	2023	105	3.5	andrew_haigh	english	no	"romance,drama,fantasy"	no
march	Cruising	1980	102	3.5	william_friedkin	english	no	"thriller,crime,mystery"	no
march	Aliens	1986	137	3.5	james_cameron	english	no	"science fiction,horror,thriller,action"	no
april	the_hidden	1987	96	3.5	jack_sholder	english	no	"thriller,science fiction,horror,action"	no
april	monkey_man	2024	121	3.5	dev_patel	english	no	"thriller,action"	no
april	the_color_of_money	1986	119	3.5	martin_scorsese	english	no	drama	no
may	war_for_the_planet_of_the_apes	2017	140	3.5	matt_reeves	english	no	"war,drama,science fiction"	no
may	the_lego_ninjago_movie	2017	101	3.5	"charlie_bean, bob_logan, paul_fisher"	english	no	"adventure,action,comedy,animation,family"	no
may	gods_own_country	2017	105	3.5	francis_lee	english	no	"romance,drama"	no
may	the_wind_that_shakes_the_barley	2006	127	3.5	ken_loach	english	no	"war,drama"	no
may	mad_max_2	1981	96	3.5	george_miller	english	no	"science fiction,adventure,action"	no
june	inside_out_2	2024	97	3.5	kelsey_mann	english	no	"comedy,drama,family,animation,adventure"	no
june	ultraman_rising	2024	117	3.5	shannon_tindle	english	no	"action,science fiction,family,animation"	no
july	Longlegs	2024	101	3.5	osgood_perkins	english	no	"horror,thriller,crime"	no
august	alien_romulus	2024	119	3.5	fede_alvarez	english	no	"science fiction,horror"	no
september	Beetlejuice	1988	92	3.5	tim_burton	english	no	"fantasy,comedy"	no
september	the_substance	2024	141	3.5	coralie_fargeat	english	no	"horror,drama,science fiction"	no
october	the_peanuts_movie	2015	88	3.5	steve_martino	english	no	"family,animation,comedy"	no
october	transformers_one	2024	104	3.5	josh_cooley	english	no	"animation,family,adventure,science fiction"	no
november	Conclave	2024	120	3.5	edward_berger	english	no	"drama,thriller"	no
november	the_martian	2015	141	3.5	ridley_scott	english	no	"drama,science fiction,adventure"	no
december	how_to_train_your_dragon_2	2014	102	3.5	dean_deblois	english	no	"fantasy,family,adventure,animation"	no
december	Certain Women	2016	107	3.5	kelly_reichardt	english	no	drama	no
december	Queer	2024	137	3.5	luca_guadagnino	english	no	"romance,drama"	no
december	the_notebook	2004	123	3.5	nick_cassavetes	english	no	"romance,drama"	no
february	american_fiction	2023	117	3	cord_jefferson	english	no	"comedy,drama"	no
march	Arrival	2016	116	3	denis_villeneuve	english	no	"science fiction,mystery,drama"	no
march	blade_runner_2049	2017	164	3	denis_villeneuve	english	no	"science fiction,drama"	no
march	Pig	2021	92	3	michael_sarnoski	english	no	"thriller,drama"	no
march	Dune	2021	155	3	denis_villeneuve	english	no	"science fiction,adventure"	no
march	you_were_never_really_here	2017	89	3	lynne_ramsay	english	no	"drama,thriller,crime"	no
may	assault_on_precinct_13	1976	91	3	john_carpenter	english	no	"crime,action,thriller"	no
may	mad_max	1979	91	3	george_miller	english	no	"science fiction,adventure,action"	no
may	the_garfield_movie	2024	101	3	mark_dindal	english	no	"action,animation,adventure,family,comedy"	no
june	kinds_of_kindness	2024	164	3	yorgos_lanthimos	english	no	"comedy,drama"	no
december	The Gay Divorcee	1934	107	3	mark_sandrich	english	no	"romance,comedy"	no
